main_feature,feature
Accessibility,
Accessibility,Assisted listening devices
Accessibility,Assistive hearing loop
Accessibility,Passenger loading area
Accessibility,Wheelchair accessible elevator
Accessibility,Wheelchair accessible parking lot
Accessibility,Wheelchair accessible restroom
Accessibility,Wheelchair rental
Accessibility,Wheelchair-accessible car park
Accessibility,Wheelchair-accessible entrance
Accessibility,Wheelchair-accessible lift
Accessibility,Wheelchair-accessible seating
Accessibility,Wheelchair-accessible toilet
Activities,
Activities,Accepting food donations
Activities,Accepting monetary donations
Activities,Accepting new volunteers
Activities,Bicycle hire
Activities,Bicycle rental
Activities,Hiking
Amenities,
Amenities,Accessible
Amenities,Air-conditioned
Amenities,Airport shuttle
Amenities,All-inclusive
Amenities,All-inclusive available
Amenities,Baggage storage
Amenities,Bar
Amenities,Bar on site
Amenities,Bar onsite
Amenities,Barbecue grill
Amenities,Baseball field
Amenities,Basketball court
Amenities,Beach access
Amenities,Breakfast
Amenities,Business center
Amenities,Child care
Amenities,Cycling lanes
Amenities,Fitness center
Amenities,Free Wi-Fi
Amenities,Free breakfast
Amenities,Free parking
Amenities,Gender-neutral restroom
Amenities,Gender-neutral toilets
Amenities,Golf course
Amenities,Has a tennis court
Amenities,Hot tub
Amenities,Indoor and outdoor pool
Amenities,Indoor pool
Amenities,Kid-friendly
Amenities,Kitchen
Amenities,Kitchen in all rooms
Amenities,Kitchens in some rooms
Amenities,Laundry service
Amenities,Mechanic
Amenities,Outdoor pool
Amenities,Paid Wi-Fi
Amenities,Paid breakfast
Amenities,Paid parking
Amenities,Parking
Amenities,Pet-friendly
Amenities,Picnic tables
Amenities,Pool
Amenities,Public restroom
Amenities,Public toilet
Amenities,Restaurant
Amenities,Restroom
Amenities,Room service
Amenities,Sauna
Amenities,Skateboarding area
Amenities,Slides
Amenities,Smoke-free
Amenities,Smoke-free place
Amenities,Spa
Amenities,Stadium seating
Amenities,Swimming pool
Amenities,Swings
Amenities,Toilets
Amenities,Volleyball court
Amenities,Wi-Fi
Atmosphere,
Atmosphere,Casual
Atmosphere,Cosy
Atmosphere,Cozy
Atmosphere,Historic
Atmosphere,Quiet
Atmosphere,Romantic
Atmosphere,Trending
Atmosphere,Trendy
Atmosphere,Upmarket
Atmosphere,Upscale
Children,
Children,Discounts for kids
Children,Family discount
Children,Good for kids
Children,Good for kids birthday
Children,Has changing table(s)
Children,High chairs
Children,Kid-friendly activities
Children,Kid-friendly hikes
Children,Kids' menu
Children,Nursing room
Children,Playground
Crowd,
Crowd,College students
Crowd,Family friendly
Crowd,Groups
Crowd,LGBTQ+ friendly
Crowd,Locals
Crowd,Tourists
Crowd,Transgender safe space
Crowd,Transgender safespace
Crowd,University students
Deities represented,
Deities represented,Brahma
Deities represented,Durga
Deities represented,Hanuman
Deities represented,Krishna
Deities represented,Lakshmi
Deities represented,Rama
Deities represented,Shiva
Deities represented,Vishnu
Dining options,
Dining options,Breakfast
Dining options,Brunch
Dining options,Catering
Dining options,Counter service
Dining options,Dessert
Dining options,Dinner
Dining options,Lunch
Dining options,Outside food allowed
Dining options,Seating
Emergency help,
Emergency help,Accepts donations
Emergency help,Employs displaced individuals
Emergency help,Needs volunteers
Emergency help,Offers accommodation for refugees
Emergency help,Offers free legal help
Emergency help,Offers free products or services
Emergency help,Offers transportation
Exams,
Exams,CAT
Exams,CBSE board
Exams,CTET
Exams,Civil services
Exams,GATE
Exams,IBPS Clerk
Exams,IBPS RBB
Exams,ICSE board
Exams,JEE
Exams,JNVST
Exams,LIC AAO
Exams,NEET
Exams,SBI Clerk
Exams,SSC CGL
Exams,SSC government
Exams,UGC NET
Exams,UPSC government
From the business,
From the business,Identifies as Asian-owned
From the business,Identifies as Black-owned
From the business,Identifies as LGBTQ+ owned
From the business,Identifies as Latino-owned
From the business,Identifies as disabled-owned
From the business,Identifies as indigenous-owned
From the business,Identifies as veteran-owned
From the business,Identifies as women-owned
From the business,Small business
Getting here,
Getting here,24-hour public transport available
Getting here,24-hour transit available
Highlights,
Highlights,3D movies
Highlights,Active military discounts
Highlights,All you can drink
Highlights,Bar games
Highlights,Cabaret
Highlights,Fast service
Highlights,Fireplace
Highlights,Great bar food
Highlights,Great beer selection
Highlights,Great cocktails
Highlights,Great coffee
Highlights,Great dessert
Highlights,Great produce
Highlights,Great tea selection
Highlights,Great wine list
Highlights,Karaoke
Highlights,Live music
Highlights,Live performances
Highlights,Quiz night
Highlights,Rooftop seating
Highlights,Serves local specialty
Highlights,Sport
Highlights,Sports
Highlights,Trivia night
Offerings,
Offerings,Aadhaar updates
Offerings,Affiliated with CBSE
Offerings,Affiliated with CISCE
Offerings,Alcohol
Offerings,All you can eat
Offerings,Arcade games
Offerings,Assembly service
Offerings,Beer
Offerings,Braille menu
Offerings,Buys used goods
Offerings,CNG
Offerings,Car hire
Offerings,Car rental
Offerings,Car wash
Offerings,Cash advance
Offerings,Check cashing
Offerings,Cheque cashing
Offerings,Cocktails
Offerings,Coffee
Offerings,Comfort food
Offerings,Dancing
Offerings,Diesel fuel
Offerings,Diesel gas
Offerings,Ethanol-free gas
Offerings,Ethanol-free petrol
Offerings,Food
Offerings,Food at bar
Offerings,Free water refills
Offerings,Full service fuel
Offerings,Full service gas
Offerings,Halal food
Offerings,Happy-hour drinks
Offerings,Happy-hour food
Offerings,Hard liquor
Offerings,Healthy options
Offerings,LPG
Offerings,Late-night food
Offerings,Men's clothing
Offerings,Men's shoes
Offerings,Oil change
Offerings,Organic dishes
Offerings,Organic products
Offerings,Passport photos
Offerings,Post Office Savings Accounts
Offerings,Prasad for purchase
Offerings,Prepared foods
Offerings,Private dining room
Offerings,Quick bite
Offerings,Repair services
Offerings,Salad bar
Offerings,Service guarantee
Offerings,Small plates
Offerings,Spirits
Offerings,Used goods
Offerings,Vegan options
Offerings,Vegetarian options
Offerings,Vegetarian options only
Offerings,Wine
Offerings,Women's clothing
Offerings,Women's shoes
Parking,
Parking,Difficult to find a space
Parking,Free multi-storey car park
Parking,Free of charge street parking
Parking,Free parking garage
Parking,Free parking lot
Parking,Free street parking
Parking,Paid multi-storey car park
Parking,Paid parking garage
Parking,Paid parking lot
Parking,Paid street parking
Parking,Plenty of parking
Parking,Somewhat difficult to find a space
Parking,Valet parking
Payments,
Payments,Alelo
Payments,Bimpli
Payments,Cash only
Payments,Checks
Payments,Cheque Dejeuner
Payments,Cheques
Payments,Credit cards
Payments,Debit cards
Payments,Google Pay
Payments,Meal coupons
Payments,NFC mobile payments
Payments,Offers free of cost or low-cost care based on individual circumstances
Payments,Offers free or low-cost care based on individual circumstances
Payments,Pluxee
Payments,SNAP/EBT
Payments,Ticket Restaurant
Payments,VR
Pets,
Pets,Dog park
Pets,Dogs allowed
Pets,Dogs allowed inside
Pets,Dogs allowed outside
Planning,
Planning,Accepts new patients
Planning,Accepts reservations
Planning,Appointment required
Planning,Appointments recommended
Planning,Brunch reservations recommended
Planning,Dinner reservations recommended
Planning,Eligibility requirement
Planning,Getting tickets in advance recommended
Planning,Lunch reservations recommended
Planning,Membership required
Planning,Quick visit
Planning,Reservations required
Planning,Usually a wait
Popular for,
Popular for,Breakfast
Popular for,Dinner
Popular for,Good for working on laptop
Popular for,Lunch
Popular for,Solo dining
Recycling,
Recycling,Batteries
Recycling,Clothing
Recycling,Electronics
Recycling,Glass bottles
Recycling,Hazardous household materials
Recycling,Ink cartridges
Recycling,Light bulbs
Recycling,Metal cans
Recycling,Plastic bags
Recycling,Plastic bottles
Recycling,Plastic foam
Service options,
Service options,Curbside pickup
Service options,Delivery
Service options,Dine-in
Service options,Drive-through
Service options,Grocery pickup
Service options,Has online care
Service options,In-store pick-up
Service options,In-store pickup
Service options,In-store shopping
Service options,Kerbside pickup
Service options,Language assistance
Service options,Meal service
Service options,No-contact delivery
Service options,On-site services
Service options,Online appointments
Service options,Online classes
Service options,Online estimates
Service options,Onsite services
Service options,Outdoor seating
Service options,Outdoor services
Service options,Same-day delivery
Service options,Takeaway
Service options,Takeout
Suggests,
Suggests,Accepts reservations
Suggests,Accessible
Suggests,Airport shuttle
Suggests,Alcohol
Suggests,Breakfast
Suggests,Business center
Suggests,Cosy
Suggests,Credit cards
Suggests,Delivery
Suggests,Dogs Allowed
Suggests,Fast service
Suggests,Fitness center
Suggests,Free Wi-Fi
Suggests,Free parking
Suggests,Free parking lot
Suggests,Free water refills
Suggests,Good for kids
Suggests,Happy hour drinks
Suggests,Happy-hour food
Suggests,Healthy options
Suggests,In-store shopping
Suggests,Kid-friendly
Suggests,Kids' menu
Suggests,Laundry service
Suggests,Live music
Suggests,Live performances
Suggests,Offers Takeout
Suggests,Open Now
Suggests,Outdoor seating
Suggests,Outdoor space
Suggests,Parking
Suggests,Pet-friendly
Suggests,Seating
Suggests,Smoke-free
Suggests,Sports
Suggests,Takeaway
Suggests,Upmarket
Suggests,Wi-Fi
